Long,Lat,F,距离尺度,调查次序
116.38,40.22,0,B,2
116.38,40.22,100,B,1
116.38,40.22,0,B,2
116.38,40.22,0,B,1
116.38,40.22,100,B,1
116.38,41.12,0,B,2
116.38,41.12,0,A,1
116.38,41.12,0,A,2
116.38,41.12,0,B,1
116.38,41.12,0,A,2
116.38,41.12,0,A,1
117.57,40.12,0,A,1
117.57,40.12,0,A,2
117.57,40.12,0,B,2
117.57,40.12,0,A,2
117.57,40.12,0,B,2
117.57,40.12,0,A,1
117.57,40.12,0,A,2
117.57,40.12,0,B,1
117.57,40.12,0,A,1
117.57,40.12,0,A,2
117.57,40.12,0,A,1
117.57,40.12,0,A,2
117.57,40.12,0,A,1
117.57,40.12,0,A,2
117.57,40.12,0,B,1
117.57,40.12,0,A,2
117.57,40.12,0,A,1
117.57,40.12,0,B,1
117.57,40.12,0,A,1
117.57,40.12,0,A,1
117.57,40.12,0,A,1
117.57,40.12,0,B,1
117.57,40.12,0,A,2
117.57,40.12,0,A,1
117.57,40.12,0,B,2
117.57,40.12,0,A,2
114.11,38.51,0,A,2
114.11,38.51,0,B,1
114.11,38.51,0,A,2
114.11,38.51,0,C,1
114.11,38.51,0,A,2
114.11,38.51,0,B,1
114.11,38.51,0,A,2
114.11,38.51,0,B,2
114.11,38.51,0,B,1
114.11,38.51,0,A,1
114.11,38.51,0,C,1
114.11,38.51,0,B,1
114.11,38.51,0,B,2
114.11,38.51,0,C,1
114.11,38.51,0,C,2
114.11,38.51,0,B,2
114.23,38.18,0,B,1
114.23,38.18,0,A,2
114.23,38.18,0,B,1
114.23,38.18,0,B,1
114.23,38.18,0,B,2
114.34,38.09,100,A,2
114.34,38.09,100,A,1
115.13,40.23,0,A,2
115.13,40.23,0,A,1
115.13,40.23,0,A,1
115.13,40.23,0,A,2
115.13,40.23,0,A,2
115.13,40.23,10,A,2
115.13,40.23,0,A,1
115.13,40.23,0,A,1
115.13,40.23,0,A,2
115.13,40.23,0,B,2
115.13,40.23,0,B,1
115.13,40.23,0,A,2
115.13,40.23,0,B,1
115.13,40.23,0,B,1
